date,nav
18-06-2007,11.57260
13-06-2007,11.49630
06-06-2007,11.48200
30-05-2007,11.46560
23-05-2007,11.44550
16-05-2007,11.43380
09-05-2007,11.41400
03-05-2007,11.39670
25-04-2007,11.36750
18-04-2007,11.34970
11-04-2007,11.33380
04-04-2007,11.31870
03-04-2007,11.31080
28-03-2007,11.30410
21-03-2007,11.28750
14-03-2007,11.27090
07-03-2007,11.24630
28-02-2007,11.22400
21-02-2007,11.21270
14-02-2007,11.21100
07-02-2007,11.20030
31-01-2007,11.18730
24-01-2007,11.17100
17-01-2007,11.15480
10-01-2007,11.14300
03-01-2007,11.12830
02-01-2007,11.11960
27-12-2006,11.11820
20-12-2006,11.11080
13-12-2006,11.13510
06-12-2006,11.14540
29-11-2006,11.13210
22-11-2006,11.11500
15-11-2006,11.10520
08-11-2006,11.10680
01-11-2006,11.09310
26-10-2006,11.08130
18-10-2006,11.06500
11-10-2006,11.05050
04-10-2006,11.03610
27-09-2006,11.02050
20-09-2006,11.00750
13-09-2006,10.99160
06-09-2006,10.98420
30-08-2006,10.96770
23-08-2006,10.95030
16-08-2006,10.94140
09-08-2006,10.92590
02-08-2006,10.90670
26-07-2006,10.89130
19-07-2006,10.87830
12-07-2006,10.86210
05-07-2006,10.84460
30-06-2006,10.83680
28-06-2006,10.83270
21-06-2006,10.82980
14-06-2006,10.82030
07-06-2006,10.80940
31-05-2006,10.80330
24-05-2006,10.78940
17-05-2006,10.77850
10-05-2006,10.76480
03-05-2006,10.75370
26-04-2006,10.73960
19-04-2006,10.71290
12-04-2006,10.69260
05-04-2006,10.67030
