date,nav
08-09-2017,12.41250
07-09-2017,12.41040
06-09-2017,12.42290
05-09-2017,12.42080
04-09-2017,12.41870
03-09-2017,12.41670
02-09-2017,12.41460
01-09-2017,12.41250
31-08-2017,12.41040
30-08-2017,12.42290
29-08-2017,12.42080
28-08-2017,12.41870
27-08-2017,12.41670
26-08-2017,12.41460
25-08-2017,12.41250
24-08-2017,12.41040
23-08-2017,12.42300
22-08-2017,12.42090
21-08-2017,12.41880
20-08-2017,12.41670
19-08-2017,12.41460
18-08-2017,12.41250
17-08-2017,12.41040
16-08-2017,12.42300
15-08-2017,12.42100
14-08-2017,12.41890
13-08-2017,12.41670
12-08-2017,12.41460
11-08-2017,12.41250
10-08-2017,12.41040
09-08-2017,12.42350
08-08-2017,12.42130
07-08-2017,12.41910
06-08-2017,12.41690
05-08-2017,12.41470
04-08-2017,12.41250
03-08-2017,12.41040
02-08-2017,12.42320
01-08-2017,12.42100
31-07-2017,12.41890
30-07-2017,12.41680
29-07-2017,12.41460
28-07-2017,12.41250
27-07-2017,12.41040
26-07-2017,12.42330
25-07-2017,12.42120
24-07-2017,12.41900
23-07-2017,12.41690
22-07-2017,12.41470
21-07-2017,12.41250
20-07-2017,12.41040
19-07-2017,12.42340
18-07-2017,12.42120
17-07-2017,12.41900
16-07-2017,12.41680
15-07-2017,12.41470
14-07-2017,12.41260
13-07-2017,12.41040
12-07-2017,12.42370
11-07-2017,12.42150
10-07-2017,12.41940
09-07-2017,12.41710
08-07-2017,12.41500
07-07-2017,12.41280
06-07-2017,12.41040
05-07-2017,12.42390
04-07-2017,12.42160
03-07-2017,12.41930
02-07-2017,12.41710
01-07-2017,12.41480
30-06-2017,12.41270
29-06-2017,12.41040
28-06-2017,12.42350
27-06-2017,12.42130
26-06-2017,12.41910
25-06-2017,12.41690
24-06-2017,12.41470
23-06-2017,12.41250
22-06-2017,12.41040
21-06-2017,12.42320
20-06-2017,12.42100
19-06-2017,12.41890
18-06-2017,12.41670
17-06-2017,12.41460
16-06-2017,12.41250
15-06-2017,12.41040
14-06-2017,12.42320
13-06-2017,12.42110
12-06-2017,12.41900
11-06-2017,12.41680
10-06-2017,12.41470
09-06-2017,12.41260
08-06-2017,12.41040
07-06-2017,12.42320
06-06-2017,12.42110
05-06-2017,12.41890
04-06-2017,12.41680
02-06-2017,12.41250
01-06-2017,12.41040
31-05-2017,12.42320
30-05-2017,12.42100
29-05-2017,12.41890
28-05-2017,12.41680
26-05-2017,12.41250
25-05-2017,12.41040
24-05-2017,12.42320
23-05-2017,12.42110
22-05-2017,12.41890
21-05-2017,12.41680
19-05-2017,12.41250
18-05-2017,12.41040
17-05-2017,12.42340
16-05-2017,12.42120
15-05-2017,12.41900
14-05-2017,12.41680
12-05-2017,12.41250
11-05-2017,12.41040
10-05-2017,12.42310
09-05-2017,12.42100
08-05-2017,12.41890
07-05-2017,12.41670
05-05-2017,12.41250
04-05-2017,12.41040
03-05-2017,12.42310
02-05-2017,12.42100
01-05-2017,12.41890
28-04-2017,12.41250
27-04-2017,12.41040
26-04-2017,12.42310
25-04-2017,12.42100
24-04-2017,12.41890
23-04-2017,12.41670
21-04-2017,12.41250
20-04-2017,12.41040
19-04-2017,12.42310
18-04-2017,12.42100
17-04-2017,12.41890
16-04-2017,12.41680
13-04-2017,12.41040
12-04-2017,12.42330
11-04-2017,12.42120
10-04-2017,12.41900
09-04-2017,12.41680
07-04-2017,12.41250
06-04-2017,12.41040
05-04-2017,12.42480
04-04-2017,12.42260
03-04-2017,12.42040
02-04-2017,12.41820
31-03-2017,12.41350
30-03-2017,12.41040
29-03-2017,12.42330
28-03-2017,12.42120
27-03-2017,12.41900
26-03-2017,12.41690
24-03-2017,12.41250
23-03-2017,12.41040
