date,nav
03-05-2024,1063.34950
02-05-2024,1063.10430
30-04-2024,1062.64250
29-04-2024,1063.50340
26-04-2024,1063.13210
25-04-2024,1062.94110
24-04-2024,1062.83020
23-04-2024,1062.80050
22-04-2024,1063.64850
19-04-2024,1063.09940
18-04-2024,1062.99760
16-04-2024,1062.68840
15-04-2024,1064.21020
12-04-2024,1063.66000
10-04-2024,1063.18560
08-04-2024,1063.92020
05-04-2024,1063.36820
04-04-2024,1063.01050
03-04-2024,1062.62060
02-04-2024,1065.28430
31-03-2024,1064.49540
28-03-2024,1063.90070
27-03-2024,1062.59240
26-03-2024,1064.01530
22-03-2024,1063.31690
21-03-2024,1063.19670
20-03-2024,1062.94910
19-03-2024,1062.69000
18-03-2024,1064.08640
15-03-2024,1063.32470
14-03-2024,1063.13440
13-03-2024,1063.02320
12-03-2024,1062.74790
11-03-2024,1064.24850
07-03-2024,1063.35750
06-03-2024,1063.09500
05-03-2024,1062.77260
04-03-2024,1064.23630
01-03-2024,1063.46520
29-02-2024,1063.19770
28-02-2024,1062.97020
27-02-2024,1062.64890
26-02-2024,1064.08010
23-02-2024,1063.43830
22-02-2024,1063.22770
21-02-2024,1062.76020
20-02-2024,1064.40610
16-02-2024,1063.47090
15-02-2024,1063.18090
14-02-2024,1062.90590
13-02-2024,1062.66160
12-02-2024,1063.89320
09-02-2024,1063.27990
08-02-2024,1063.16190
07-02-2024,1062.93800
06-02-2024,1062.67210
05-02-2024,1063.94510
02-02-2024,1063.31630
01-02-2024,1063.08880
31-01-2024,1062.86080
30-01-2024,1062.65300
29-01-2024,1063.62480
25-01-2024,1062.78210
24-01-2024,1062.57750
23-01-2024,1063.85460
19-01-2024,1063.17970
18-01-2024,1062.98110
17-01-2024,1062.82200
16-01-2024,1062.61700
15-01-2024,1063.95670
12-01-2024,1063.32570
11-01-2024,1063.10120
10-01-2024,1062.90690
09-01-2024,1062.70050
08-01-2024,1063.91150
05-01-2024,1063.30530
04-01-2024,1063.09000
03-01-2024,1062.89650
02-01-2024,1062.67490
01-01-2024,1064.04210
29-12-2023,1063.31380
28-12-2023,1062.89090
