date,nav
27-04-2007,10.00000
26-04-2007,10.06850
25-04-2007,10.06660
24-04-2007,10.06530
23-04-2007,10.06340
20-04-2007,10.05770
19-04-2007,10.05580
18-04-2007,10.05400
17-04-2007,10.05210
16-04-2007,10.05030
13-04-2007,10.04470
12-04-2007,10.04280
11-04-2007,10.04100
10-04-2007,10.03910
09-04-2007,10.03730
05-04-2007,10.02980
04-04-2007,10.02800
03-04-2007,10.02610
30-03-2007,10.01870
29-03-2007,11.48920
28-03-2007,11.48700
26-03-2007,11.48280
23-03-2007,11.47640
22-03-2007,11.47430
21-03-2007,11.47210
20-03-2007,11.47000
16-03-2007,11.46150
15-03-2007,11.45930
14-03-2007,11.45720
13-03-2007,11.45510
12-03-2007,11.45290
09-03-2007,11.44650
08-03-2007,11.44440
07-03-2007,11.44240
06-03-2007,11.44020
05-03-2007,11.43810
02-03-2007,11.43170
01-03-2007,11.42960
28-02-2007,11.42750
27-02-2007,11.42530
26-02-2007,11.42320
23-02-2007,11.41680
22-02-2007,11.41470
21-02-2007,11.41250
20-02-2007,11.41040
19-02-2007,11.40830
15-02-2007,11.39970
14-02-2007,11.39760
13-02-2007,11.39550
12-02-2007,11.39330
09-02-2007,11.38690
08-02-2007,11.38480
07-02-2007,11.38270
06-02-2007,11.38050
05-02-2007,11.37840
02-02-2007,11.37200
31-01-2007,11.36770
29-01-2007,11.36350
25-01-2007,11.35490
24-01-2007,11.35280
23-01-2007,11.35070
22-01-2007,11.34850
19-01-2007,11.34210
18-01-2007,11.34000
17-01-2007,11.33780
16-01-2007,11.33570
15-01-2007,11.33360
12-01-2007,11.32720
11-01-2007,11.32500
10-01-2007,11.32290
09-01-2007,11.32080
08-01-2007,11.31860
05-01-2007,11.31220
04-01-2007,11.31010
03-01-2007,11.30800
02-01-2007,11.30580
29-12-2006,11.29730
28-12-2006,11.29510
27-12-2006,11.29300
26-12-2006,11.29090
22-12-2006,11.28230
21-12-2006,11.28020
20-12-2006,11.27800
19-12-2006,11.27590
18-12-2006,11.27380
15-12-2006,11.26740
14-12-2006,11.26520
13-12-2006,11.26310
12-12-2006,11.26090
11-12-2006,11.25880
08-12-2006,11.25240
07-12-2006,11.25030
06-12-2006,11.24810
05-12-2006,11.24600
04-12-2006,11.24390
01-12-2006,11.23750
30-11-2006,11.23530
29-11-2006,11.23320
28-11-2006,11.23100
27-11-2006,11.22890
24-11-2006,11.22250
23-11-2006,11.22040
22-11-2006,11.21820
21-11-2006,11.21610
20-11-2006,11.21400
17-11-2006,11.20750
16-11-2006,11.20540
15-11-2006,11.20330
14-11-2006,11.20110
13-11-2006,11.19900
10-11-2006,11.19260
09-11-2006,11.19040
08-11-2006,11.18830
07-11-2006,11.18620
06-11-2006,11.18400
03-11-2006,11.17760
02-11-2006,11.17550
01-11-2006,11.17330
31-10-2006,11.17120
30-10-2006,11.16910
27-10-2006,11.16270
26-10-2006,11.16050
23-10-2006,11.15410
20-10-2006,11.14770
19-10-2006,11.14560
18-10-2006,11.14340
17-10-2006,11.14130
16-10-2006,11.13910
13-10-2006,11.13270
12-10-2006,11.13060
11-10-2006,11.12850
10-10-2006,11.12630
09-10-2006,11.12420
06-10-2006,11.11780
05-10-2006,11.11560
04-10-2006,11.11350
03-10-2006,11.11130
29-09-2006,11.10280
28-09-2006,11.10060
27-09-2006,11.09850
26-09-2006,11.09640
25-09-2006,11.09420
22-09-2006,11.08780
21-09-2006,11.08570
20-09-2006,11.08350
19-09-2006,11.08140
18-09-2006,11.07930
15-09-2006,11.07280
14-09-2006,11.07070
13-09-2006,11.06860
12-09-2006,11.06640
11-09-2006,11.06430
08-09-2006,11.05790
07-09-2006,11.05570
06-09-2006,11.05360
