date,nav
02-05-2024,40.71440
30-04-2024,40.67100
29-04-2024,40.66360
26-04-2024,40.63740
25-04-2024,40.62880
24-04-2024,40.63260
23-04-2024,40.63390
22-04-2024,40.59370
19-04-2024,40.53720
18-04-2024,40.58460
16-04-2024,40.55540
15-04-2024,40.57270
12-04-2024,40.54130
10-04-2024,40.59300
08-04-2024,40.54260
05-04-2024,40.56110
04-04-2024,40.56600
03-04-2024,40.55120
02-04-2024,40.53120
31-03-2024,40.56040
28-03-2024,40.54370
27-03-2024,40.50060
26-03-2024,40.46460
22-03-2024,40.40330
21-03-2024,40.43150
20-03-2024,40.37740
19-03-2024,40.36830
18-03-2024,40.37440
15-03-2024,40.38020
14-03-2024,40.38930
13-03-2024,40.38660
12-03-2024,40.38180
11-03-2024,40.37540
07-03-2024,40.31550
06-03-2024,40.28630
05-03-2024,40.26960
04-03-2024,40.26030
01-03-2024,40.23720
29-02-2024,40.21510
28-02-2024,40.21120
27-02-2024,40.20270
26-02-2024,40.19310
23-02-2024,40.15860
22-02-2024,40.16750
21-02-2024,40.17290
20-02-2024,40.15100
16-02-2024,40.09130
15-02-2024,40.09630
14-02-2024,40.06340
13-02-2024,40.06180
12-02-2024,40.04910
09-02-2024,40.01620
08-02-2024,40.03490
07-02-2024,40.03130
06-02-2024,40.01840
05-02-2024,40.00780
02-02-2024,40.02510
01-02-2024,40.00640
31-01-2024,39.95210
30-01-2024,39.93620
29-01-2024,39.93090
25-01-2024,39.90040
24-01-2024,39.89110
23-01-2024,39.89100
19-01-2024,39.85380
18-01-2024,39.85120
17-01-2024,39.85700
16-01-2024,39.86300
15-01-2024,39.85990
12-01-2024,39.81760
11-01-2024,39.81900
10-01-2024,39.80880
09-01-2024,39.79580
08-01-2024,39.77790
05-01-2024,39.73430
04-01-2024,39.73510
03-01-2024,39.73420
02-01-2024,39.73280
01-01-2024,39.73230
29-12-2023,39.72230
28-12-2023,39.68540
27-12-2023,39.68240
26-12-2023,39.68260
22-12-2023,39.64880
21-12-2023,39.63580
19-12-2023,39.63570
18-12-2023,39.64450
15-12-2023,39.61800
14-12-2023,39.58710
