date,nav
08-09-2017,39.10780
07-09-2017,39.10130
06-09-2017,39.09480
05-09-2017,39.08830
04-09-2017,39.08170
03-09-2017,39.07520
02-09-2017,39.06860
01-09-2017,39.06210
31-08-2017,39.05550
30-08-2017,39.04890
29-08-2017,39.04240
28-08-2017,39.03580
27-08-2017,39.02940
26-08-2017,39.02280
25-08-2017,39.01620
24-08-2017,39.00960
23-08-2017,39.00320
22-08-2017,38.99660
21-08-2017,38.99000
20-08-2017,38.98350
19-08-2017,38.97690
18-08-2017,38.97030
17-08-2017,38.96370
16-08-2017,38.95710
15-08-2017,38.95060
14-08-2017,38.94400
13-08-2017,38.93730
12-08-2017,38.93070
11-08-2017,38.92400
10-08-2017,38.91750
09-08-2017,38.91080
08-08-2017,38.90380
07-08-2017,38.89690
06-08-2017,38.89020
05-08-2017,38.88330
04-08-2017,38.87640
03-08-2017,38.86970
02-08-2017,38.86290
01-08-2017,38.85620
31-07-2017,38.84960
30-07-2017,38.84290
29-07-2017,38.83620
28-07-2017,38.82950
27-07-2017,38.82290
26-07-2017,38.81620
25-07-2017,38.80960
24-07-2017,38.80290
23-07-2017,38.79610
22-07-2017,38.78940
21-07-2017,38.78270
20-07-2017,38.77590
19-07-2017,38.76920
18-07-2017,38.76220
17-07-2017,38.75540
16-07-2017,38.74860
15-07-2017,38.74200
14-07-2017,38.73530
13-07-2017,38.72850
12-07-2017,38.72170
11-07-2017,38.71490
10-07-2017,38.70830
09-07-2017,38.70130
08-07-2017,38.69450
07-07-2017,38.68770
06-07-2017,38.68030
05-07-2017,38.67340
04-07-2017,38.66640
03-07-2017,38.65920
02-07-2017,38.65230
01-07-2017,38.64530
30-06-2017,38.63870
29-06-2017,38.63150
28-06-2017,38.62450
27-06-2017,38.61770
26-06-2017,38.61080
25-06-2017,38.60400
24-06-2017,38.59720
23-06-2017,38.59040
22-06-2017,38.58380
21-06-2017,38.57710
20-06-2017,38.57050
19-06-2017,38.56370
18-06-2017,38.55710
17-06-2017,38.55050
16-06-2017,38.54390
15-06-2017,38.53740
14-06-2017,38.53070
13-06-2017,38.52410
12-06-2017,38.51740
11-06-2017,38.51080
10-06-2017,38.50410
09-06-2017,38.49760
08-06-2017,38.49090
07-06-2017,38.48420
06-06-2017,38.47760
05-06-2017,38.47090
04-06-2017,38.46440
02-06-2017,38.45120
01-06-2017,38.44460
31-05-2017,38.43800
30-05-2017,38.43130
29-05-2017,38.42480
28-05-2017,38.41820
26-05-2017,38.40500
25-05-2017,38.39840
24-05-2017,38.39170
23-05-2017,38.38510
22-05-2017,38.37840
21-05-2017,38.37180
19-05-2017,38.35860
18-05-2017,38.35210
17-05-2017,38.34520
16-05-2017,38.33840
15-05-2017,38.33160
14-05-2017,38.32500
12-05-2017,38.31170
11-05-2017,38.30510
10-05-2017,38.29850
09-05-2017,38.29190
08-05-2017,38.28540
07-05-2017,38.27880
05-05-2017,38.26570
04-05-2017,38.25930
03-05-2017,38.25270
02-05-2017,38.24620
01-05-2017,38.23970
28-04-2017,38.22000
27-04-2017,38.21360
26-04-2017,38.20710
25-04-2017,38.20060
24-04-2017,38.19410
23-04-2017,38.18760
21-04-2017,38.17450
20-04-2017,38.16810
19-04-2017,38.16160
18-04-2017,38.15500
17-04-2017,38.14860
16-04-2017,38.14200
13-04-2017,38.12250
12-04-2017,38.11600
11-04-2017,38.10940
10-04-2017,38.10270
09-04-2017,38.09600
07-04-2017,38.08290
06-04-2017,38.07630
05-04-2017,38.07020
04-04-2017,38.06350
03-04-2017,38.05690
02-04-2017,38.04990
31-03-2017,38.03580
30-03-2017,38.02620
29-03-2017,38.01860
28-03-2017,38.01200
27-03-2017,38.00530
26-03-2017,37.99880
24-03-2017,37.98560
23-03-2017,37.97900
22-03-2017,37.97230
21-03-2017,37.96550
20-03-2017,37.95820
19-03-2017,37.95120
17-03-2017,37.93730
16-03-2017,37.93020
15-03-2017,37.92320
14-03-2017,37.91620
13-03-2017,37.90930
10-03-2017,37.88950
09-03-2017,37.88310
08-03-2017,37.87670
07-03-2017,37.87010
06-03-2017,37.86350
05-03-2017,37.85720
03-03-2017,37.84420
02-03-2017,37.83770
01-03-2017,37.83090
28-02-2017,37.82410
27-02-2017,37.81740
26-02-2017,37.81050
23-02-2017,37.79090
22-02-2017,37.78410
21-02-2017,37.77700
20-02-2017,37.77040
19-02-2017,37.76390
17-02-2017,37.75060
16-02-2017,37.74400
15-02-2017,37.73730
14-02-2017,37.73080
13-02-2017,37.72390
12-02-2017,37.71710
10-02-2017,37.70400
09-02-2017,37.69700
08-02-2017,37.69030
07-02-2017,37.68530
06-02-2017,37.67860
05-02-2017,37.67210
03-02-2017,37.65880
02-02-2017,37.65230
