date,nav
17-09-2014,17.82320
16-09-2014,17.82010
15-09-2014,17.81690
12-09-2014,17.80790
11-09-2014,17.80490
10-09-2014,17.80210
09-09-2014,17.79900
08-09-2014,17.79600
05-09-2014,17.78720
04-09-2014,17.78440
03-09-2014,17.78160
02-09-2014,17.77890
01-09-2014,17.77620
28-08-2014,17.76380
27-08-2014,17.76060
26-08-2014,17.75760
25-08-2014,17.75440
22-08-2014,17.74540
21-08-2014,17.74250
20-08-2014,17.73970
19-08-2014,17.73650
14-08-2014,17.71600
13-08-2014,17.71260
12-08-2014,17.70950
11-08-2014,17.70620
08-08-2014,17.69680
07-08-2014,17.69370
06-08-2014,17.69060
05-08-2014,17.68740
04-08-2014,17.68450
01-08-2014,17.67580
31-07-2014,17.67270
30-07-2014,17.66960
28-07-2014,17.66310
25-07-2014,17.65280
24-07-2014,17.64930
23-07-2014,17.64570
22-07-2014,17.64210
21-07-2014,17.63850
18-07-2014,17.62870
17-07-2014,17.62550
16-07-2014,17.62240
15-07-2014,17.61910
14-07-2014,17.61580
11-07-2014,17.60720
10-07-2014,17.60460
09-07-2014,17.60110
08-07-2014,17.59760
07-07-2014,17.59430
04-07-2014,17.58520
03-07-2014,17.58230
02-07-2014,17.57930
01-07-2014,17.57620
30-06-2014,17.57300
27-06-2014,17.56270
26-06-2014,17.55940
25-06-2014,17.55610
24-06-2014,17.55280
23-06-2014,17.54960
20-06-2014,17.53750
19-06-2014,17.53350
18-06-2014,17.52950
17-06-2014,17.52550
16-06-2014,17.52110
13-06-2014,17.50870
12-06-2014,17.50470
11-06-2014,17.50080
10-06-2014,17.49670
09-06-2014,17.49240
06-06-2014,17.47940
05-06-2014,17.47530
04-06-2014,17.47110
03-06-2014,17.46700
02-06-2014,17.46300
30-05-2014,17.45100
29-05-2014,17.44700
28-05-2014,17.44290
27-05-2014,17.43900
26-05-2014,17.41430
23-05-2014,17.40220
22-05-2014,17.39820
21-05-2014,17.39420
20-05-2014,17.39140
19-05-2014,17.38290
16-05-2014,17.37500
15-05-2014,17.37240
13-05-2014,17.36650
12-05-2014,17.36330
09-05-2014,17.35470
08-05-2014,17.35190
07-05-2014,17.34920
06-05-2014,17.34660
05-05-2014,17.34390
02-05-2014,17.33610
30-04-2014,17.33060
29-04-2014,17.32750
28-04-2014,17.32380
25-04-2014,17.31510
23-04-2014,17.30950
22-04-2014,17.30680
21-04-2014,17.30390
17-04-2014,17.29350
16-04-2014,17.29100
15-04-2014,17.28860
11-04-2014,17.27780
10-04-2014,17.27510
09-04-2014,17.27250
07-04-2014,17.26730
04-04-2014,17.26060
03-04-2014,17.25860
02-04-2014,17.25610
28-03-2014,17.23430
27-03-2014,17.22960
26-03-2014,17.22690
25-03-2014,17.22430
24-03-2014,17.22150
21-03-2014,17.21380
20-03-2014,17.21140
19-03-2014,17.20840
18-03-2014,17.20530
14-03-2014,17.19330
13-03-2014,17.19030
12-03-2014,17.18770
11-03-2014,17.18510
10-03-2014,17.18260
07-03-2014,17.17600
06-03-2014,17.17410
05-03-2014,17.17160
04-03-2014,17.16900
03-03-2014,17.16660
