date,nav
02-05-2018,2773.06960
27-04-2018,2771.20570
26-04-2018,2770.55880
25-04-2018,2770.16450
24-04-2018,2769.77030
23-04-2018,2769.37420
20-04-2018,2768.16910
19-04-2018,2767.76570
18-04-2018,2767.37500
17-04-2018,2766.98600
16-04-2018,2766.59690
13-04-2018,2765.51120
12-04-2018,2765.18440
11-04-2018,2764.80500
10-04-2018,2764.41400
09-04-2018,2764.01850
06-04-2018,2762.85210
05-04-2018,2762.46370
04-04-2018,2762.08360
03-04-2018,2761.71200
28-03-2018,2758.96980
27-03-2018,2758.49740
26-03-2018,2758.10390
23-03-2018,2756.94180
22-03-2018,2756.54990
21-03-2018,2756.15510
20-03-2018,2755.76230
19-03-2018,2755.38210
16-03-2018,2754.29220
15-03-2018,2753.94420
14-03-2018,2753.55220
13-03-2018,2753.17590
12-03-2018,2752.80560
09-03-2018,2751.64180
08-03-2018,2751.25050
07-03-2018,2750.86480
06-03-2018,2750.47770
05-03-2018,2750.09930
01-03-2018,2748.79650
28-02-2018,2748.48900
27-02-2018,2748.10400
26-02-2018,2747.71770
23-02-2018,2746.52920
22-02-2018,2746.13010
21-02-2018,2745.73160
20-02-2018,2745.33650
16-02-2018,2743.94050
15-02-2018,2743.60960
14-02-2018,2743.21540
12-02-2018,2742.41820
09-02-2018,2741.22760
08-02-2018,2740.83080
07-02-2018,2740.44070
06-02-2018,2740.05020
05-02-2018,2739.66970
02-02-2018,2738.68990
01-02-2018,2738.38980
31-01-2018,2738.00710
30-01-2018,2737.62370
29-01-2018,2737.24010
25-01-2018,2735.66660
24-01-2018,2735.27090
23-01-2018,2734.88460
22-01-2018,2734.48760
19-01-2018,2733.54380
18-01-2018,2733.27120
17-01-2018,2732.88540
16-01-2018,2732.49950
15-01-2018,2732.11510
12-01-2018,2730.67010
11-01-2018,2730.27480
10-01-2018,2729.88550
09-01-2018,2729.49230
08-01-2018,2729.10630
05-01-2018,2728.06020
04-01-2018,2727.72850
03-01-2018,2727.35100
02-01-2018,2726.97020
01-01-2018,2726.58810
29-12-2017,2725.38260
28-12-2017,2724.97200
27-12-2017,2724.56740
26-12-2017,2724.15570
22-12-2017,2722.55960
21-12-2017,2722.16020
20-12-2017,2721.76590
19-12-2017,2721.36840
18-12-2017,2720.96160
15-12-2017,2719.71830
14-12-2017,2719.30450
13-12-2017,2718.92110
12-12-2017,2718.53440
11-12-2017,2718.14070
08-12-2017,2717.08300
07-12-2017,2716.74810
06-12-2017,2716.38030
05-12-2017,2716.00410
04-12-2017,2715.63370
30-11-2017,2714.08410
29-11-2017,2713.69420
28-11-2017,2713.30470
27-11-2017,2712.91660
24-11-2017,2711.82130
23-11-2017,2711.46800
22-11-2017,2711.07720
21-11-2017,2710.68160
20-11-2017,2710.28630
17-11-2017,2709.09650
16-11-2017,2708.69940
15-11-2017,2708.31000
14-11-2017,2707.91880
13-11-2017,2707.52380
10-11-2017,2706.44020
09-11-2017,2706.09190
08-11-2017,2705.69570
07-11-2017,2705.30290
06-11-2017,2704.91480
03-11-2017,2703.75290
02-11-2017,2703.36300
01-11-2017,2702.97720
31-10-2017,2702.58380
30-10-2017,2702.18020
27-10-2017,2701.11800
26-10-2017,2700.78670
25-10-2017,2700.39290
24-10-2017,2699.99600
23-10-2017,2699.60340
18-10-2017,2697.56060
17-10-2017,2697.14820
16-10-2017,2696.74210
13-10-2017,2695.61560
12-10-2017,2695.25160
11-10-2017,2694.85890
10-10-2017,2694.45930
09-10-2017,2694.05580
06-10-2017,2692.87960
05-10-2017,2692.28590
04-10-2017,2691.90130
03-10-2017,2691.51210
29-09-2017,2689.93440
28-09-2017,2689.54000
27-09-2017,2689.14670
26-09-2017,2688.75790
25-09-2017,2688.36390
22-09-2017,2687.13890
21-09-2017,2686.72700
20-09-2017,2686.32650
19-09-2017,2685.92500
18-09-2017,2685.52330
15-09-2017,2684.42510
14-09-2017,2684.07820
13-09-2017,2683.68620
12-09-2017,2683.29550
11-09-2017,2682.90460
08-09-2017,2681.71900
07-09-2017,2681.32390
06-09-2017,2680.93580
05-09-2017,2680.54730
04-09-2017,2680.15790
01-09-2017,2679.12780
31-08-2017,2678.80730
30-08-2017,2678.43410
29-08-2017,2678.05580
28-08-2017,2677.66490
24-08-2017,2676.03830
23-08-2017,2675.62870
22-08-2017,2675.22760
21-08-2017,2674.82610
18-08-2017,2673.71980
16-08-2017,2672.85150
14-08-2017,2672.04910
11-08-2017,2670.83480
10-08-2017,2670.42870
09-08-2017,2670.02880
08-08-2017,2669.62340
07-08-2017,2669.22080
04-08-2017,2668.13660
03-08-2017,2667.79290
02-08-2017,2667.39720
01-08-2017,2666.98380
31-07-2017,2666.56750
28-07-2017,2665.30550
27-07-2017,2664.88280
26-07-2017,2664.46650
25-07-2017,2664.04750
24-07-2017,2663.62950
21-07-2017,2662.47570
20-07-2017,2662.10670
19-07-2017,2661.69320
18-07-2017,2661.26930
