date,nav
17-11-2015,1022.92470
16-11-2015,1022.92470
13-11-2015,1022.54190
10-11-2015,1021.97490
09-11-2015,1021.78710
06-11-2015,1021.23890
05-11-2015,1021.05710
04-11-2015,1020.87530
03-11-2015,1020.69410
02-11-2015,1020.51250
30-10-2015,1019.96780
29-10-2015,1019.78680
28-10-2015,1019.60620
27-10-2015,1019.42400
26-10-2015,1019.23620
23-10-2015,1018.68690
21-10-2015,1018.32210
20-10-2015,1018.13940
19-10-2015,1019.23270
16-10-2015,1018.68400
15-10-2015,1018.50100
14-10-2015,1018.31870
13-10-2015,1018.13940
12-10-2015,1019.22520
09-10-2015,1018.68210
08-10-2015,1018.50040
07-10-2015,1018.31860
06-10-2015,1018.13940
05-10-2015,1019.21970
01-10-2015,1018.49930
30-09-2015,1018.31980
29-09-2015,1018.13940
28-09-2015,1019.30790
24-09-2015,1018.52790
23-09-2015,1018.33280
22-09-2015,1018.13940
21-09-2015,1019.31660
18-09-2015,1018.72840
16-09-2015,1018.33610
15-09-2015,1018.13940
14-09-2015,1019.34360
11-09-2015,1018.76350
10-09-2015,1018.56960
09-09-2015,1018.35250
08-09-2015,1018.13940
07-09-2015,1019.27830
04-09-2015,1018.71020
03-09-2015,1018.52080
02-09-2015,1018.33080
01-09-2015,1018.13940
31-08-2015,1019.28920
28-08-2015,1018.71730
27-08-2015,1018.52600
26-08-2015,1018.33270
25-08-2015,1018.13940
24-08-2015,1019.09420
21-08-2015,1018.52060
20-08-2015,1018.32990
19-08-2015,1018.13940
17-08-2015,1019.29480
14-08-2015,1018.71690
13-08-2015,1018.52410
12-08-2015,1018.33130
11-08-2015,1018.13940
10-08-2015,1019.30860
07-08-2015,1018.72130
06-08-2015,1018.52340
05-08-2015,1018.33170
04-08-2015,1018.13940
03-08-2015,1019.28170
31-07-2015,1018.71150
30-07-2015,1018.52170
29-07-2015,1018.32970
28-07-2015,1018.13940
27-07-2015,1019.29270
24-07-2015,1018.71750
23-07-2015,1018.52600
22-07-2015,1018.33310
21-07-2015,1018.13940
20-07-2015,1019.18770
17-07-2015,1018.66250
16-07-2015,1018.48770
15-07-2015,1018.31320
14-07-2015,1018.13940
13-07-2015,1019.28430
10-07-2015,1018.71170
09-07-2015,1018.52110
08-07-2015,1018.32910
07-07-2015,1018.13940
06-07-2015,1019.26730
03-07-2015,1018.70280
02-07-2015,1018.51550
01-07-2015,1018.32770
30-06-2015,1018.13940
29-06-2015,1019.30550
26-06-2015,1018.72740
25-06-2015,1018.53480
24-06-2015,1018.34300
23-06-2015,1018.13940
22-06-2015,1019.28000
19-06-2015,1018.71200
18-06-2015,1018.52290
17-06-2015,1018.33170
16-06-2015,1018.13940
15-06-2015,1019.29920
12-06-2015,1018.72340
11-06-2015,1018.53070
10-06-2015,1018.33480
09-06-2015,1018.13940
08-06-2015,1019.26500
05-06-2015,1018.70430
04-06-2015,1018.51770
03-06-2015,1018.32930
02-06-2015,1018.13940
01-06-2015,1019.36490
29-05-2015,1018.75170
28-05-2015,1018.54630
27-05-2015,1018.34270
26-05-2015,1018.13940
25-05-2015,1019.37910
22-05-2015,1018.75430
21-05-2015,1018.54460
20-05-2015,1018.34100
19-05-2015,1018.13940
18-05-2015,1019.36410
15-05-2015,1018.75220
14-05-2015,1018.54860
13-05-2015,1018.34390
12-05-2015,1018.13940
11-05-2015,1019.34190
08-05-2015,1018.73640
07-05-2015,1018.53500
06-05-2015,1018.33820
05-05-2015,1018.13940
30-04-2015,1018.54610
29-04-2015,1018.34380
28-04-2015,1018.13940
27-04-2015,1019.38090
24-04-2015,1018.75470
23-04-2015,1018.54360
22-04-2015,1018.33990
21-04-2015,1018.13940
20-04-2015,1019.15200
17-04-2015,1018.54280
16-04-2015,1018.34030
15-04-2015,1018.13940
13-04-2015,1019.32160
10-04-2015,1018.72720
09-04-2015,1018.52960
08-04-2015,1018.33200
07-04-2015,1018.13940
06-04-2015,1019.46080
31-03-2015,1018.13940
30-03-2015,1019.33830
27-03-2015,1018.72900
26-03-2015,1018.52850
25-03-2015,1018.33340
24-03-2015,1018.13940
23-03-2015,1019.33780
20-03-2015,1018.73790
19-03-2015,1018.53980
18-03-2015,1018.34090
17-03-2015,1018.13940
16-03-2015,1019.35620
13-03-2015,1018.74240
12-03-2015,1018.54000
11-03-2015,1018.34110
10-03-2015,1018.13940
09-03-2015,1019.28630
05-03-2015,1018.52410
04-03-2015,1018.33140
03-03-2015,1018.13940
02-03-2015,1019.37420
27-02-2015,1018.75730
26-02-2015,1018.55300
25-02-2015,1018.34600
24-02-2015,1018.13940
23-02-2015,1019.17140
20-02-2015,1018.55200
18-02-2015,1018.13940
16-02-2015,1019.35020
13-02-2015,1018.74430
12-02-2015,1018.54360
11-02-2015,1018.33930
10-02-2015,1018.13940
09-02-2015,1019.37290
06-02-2015,1018.74980
05-02-2015,1018.54380
04-02-2015,1018.34220
03-02-2015,1018.13940
02-02-2015,1019.38840
30-01-2015,1018.76530
29-01-2015,1018.56030
28-01-2015,1018.35320
27-01-2015,1018.13940
23-01-2015,1018.78490
22-01-2015,1018.57080
21-01-2015,1018.35590
20-01-2015,1018.13940
19-01-2015,1019.43420
16-01-2015,1018.78900
15-01-2015,1018.57330
14-01-2015,1018.35940
13-01-2015,1018.13940
12-01-2015,1019.44070
09-01-2015,1018.79000
08-01-2015,1018.57320
07-01-2015,1018.35550
06-01-2015,1018.13940
05-01-2015,1019.45360
02-01-2015,1018.81120
01-01-2015,1018.59860
31-12-2014,1018.37730
30-12-2014,1018.13940
29-12-2014,1019.44890
26-12-2014,1018.79320
24-12-2014,1018.35640
23-12-2014,1018.13940
22-12-2014,1019.52800
19-12-2014,1018.84100
18-12-2014,1018.61280
17-12-2014,1018.37660
16-12-2014,1018.13940
15-12-2014,1019.44320
12-12-2014,1018.78740
11-12-2014,1018.57190
10-12-2014,1018.35590
09-12-2014,1018.13940
08-12-2014,1019.42530
05-12-2014,1018.78230
04-12-2014,1018.56820
03-12-2014,1018.35370
02-12-2014,1018.13940
01-12-2014,1019.43050
28-11-2014,1018.78570
27-11-2014,1018.57150
26-11-2014,1018.35480
25-11-2014,1018.13940
24-11-2014,1019.43060
21-11-2014,1018.78670
20-11-2014,1018.57200
19-11-2014,1018.35580
18-11-2014,1018.13940
17-11-2014,1019.46470
14-11-2014,1018.81100
13-11-2014,1018.59300
12-11-2014,1018.37180
11-11-2014,1018.13940
10-11-2014,1019.20020
07-11-2014,1018.56240
05-11-2014,1018.13940
03-11-2014,1019.43750
31-10-2014,1018.79040
30-10-2014,1018.57390
29-10-2014,1018.35640
28-10-2014,1018.13940
27-10-2014,1019.51720
22-10-2014,1018.37150
21-10-2014,1018.13940
20-10-2014,1019.43770
17-10-2014,1018.78800
16-10-2014,1018.57110
14-10-2014,1018.13940
13-10-2014,1019.51720
10-10-2014,1018.76970
09-10-2014,1018.56090
08-10-2014,1018.35150
07-10-2014,1018.13940
01-10-2014,1018.35210
30-09-2014,1018.13940
29-09-2014,1019.41960
26-09-2014,1018.77710
25-09-2014,1018.56390
24-09-2014,1018.35170
23-09-2014,1018.13940
22-09-2014,1019.43200
19-09-2014,1018.78840
18-09-2014,1018.57370
17-09-2014,1018.35730
16-09-2014,1018.13940
15-09-2014,1019.40020
12-09-2014,1018.77180
11-09-2014,1018.56560
10-09-2014,1018.35250
09-09-2014,1018.13940
08-09-2014,1019.36160
05-09-2014,1018.73480
04-09-2014,1018.52800
03-09-2014,1018.33050
02-09-2014,1018.13940
01-09-2014,1019.42870
28-08-2014,1018.56910
27-08-2014,1018.35320
26-08-2014,1018.13940
25-08-2014,1019.43870
22-08-2014,1018.79330
21-08-2014,1018.57410
20-08-2014,1018.35950
19-08-2014,1018.13940
14-08-2014,1018.57490
13-08-2014,1018.35650
12-08-2014,1018.13940
11-08-2014,1019.49360
08-08-2014,1018.80470
07-08-2014,1018.58040
06-08-2014,1018.35730
05-08-2014,1018.13940
04-08-2014,1019.23610
01-08-2014,1018.57630
31-07-2014,1018.35650
30-07-2014,1018.13940
28-07-2014,1019.60650
25-07-2014,1018.87150
24-07-2014,1018.62540
23-07-2014,1018.37910
22-07-2014,1018.13940
21-07-2014,1019.48560
18-07-2014,1018.81120
17-07-2014,1018.58900
16-07-2014,1018.36780
15-07-2014,1018.13940
14-07-2014,1019.57320
11-07-2014,1018.85870
10-07-2014,1018.61940
09-07-2014,1018.37980
08-07-2014,1018.13940
07-07-2014,1019.22420
04-07-2014,1018.58860
03-07-2014,1018.37980
02-07-2014,1018.13940
30-06-2014,1019.51130
27-06-2014,1018.80570
26-06-2014,1018.57320
25-06-2014,1018.35520
24-06-2014,1018.13940
23-06-2014,1019.43030
20-06-2014,1018.78880
19-06-2014,1018.57630
18-06-2014,1018.36160
17-06-2014,1018.13940
16-06-2014,1019.45360
13-06-2014,1018.79570
12-06-2014,1018.58000
11-06-2014,1018.36340
10-06-2014,1018.13940
09-06-2014,1019.49710
06-06-2014,1018.86470
05-06-2014,1018.65650
04-06-2014,1018.44020
03-06-2014,1018.13940
02-06-2014,1019.49690
30-05-2014,1018.77700
29-05-2014,1018.56440
28-05-2014,1018.35230
27-05-2014,1018.13940
26-05-2014,1019.42230
23-05-2014,1018.77400
22-05-2014,1018.55980
21-05-2014,1018.34730
20-05-2014,1018.13940
19-05-2014,1019.47360
16-05-2014,1018.81940
15-05-2014,1018.60130
13-05-2014,1018.13940
12-05-2014,1019.44310
09-05-2014,1018.78320
08-05-2014,1018.56700
07-05-2014,1018.35150
06-05-2014,1018.13940
05-05-2014,1019.49870
02-05-2014,1018.82400
30-04-2014,1018.36870
29-04-2014,1018.13940
28-04-2014,1019.52610
25-04-2014,1018.83310
23-04-2014,1018.37180
22-04-2014,1018.13940
21-04-2014,1019.45080
17-04-2014,1018.57580
16-04-2014,1018.35660
15-04-2014,1018.13940
11-04-2014,1018.57110
10-04-2014,1018.35530
09-04-2014,1018.13940
07-04-2014,1019.25880
04-04-2014,1018.59450
03-04-2014,1018.37590
02-04-2014,1018.13940
28-03-2014,1018.85460
27-03-2014,1018.57500
26-03-2014,1018.35850
25-03-2014,1018.13940
24-03-2014,1019.55180
21-03-2014,1018.84540
20-03-2014,1018.61120
19-03-2014,1018.37520
18-03-2014,1018.13940
14-03-2014,1018.78900
13-03-2014,1018.56250
12-03-2014,1018.35010
11-03-2014,1018.13940
10-03-2014,1019.41030
07-03-2014,1018.76820
06-03-2014,1018.55420
05-03-2014,1018.34340
04-03-2014,1018.13940
03-03-2014,1019.41290
28-02-2014,1018.77770
26-02-2014,1018.35250
25-02-2014,1018.13940
24-02-2014,1019.39050
21-02-2014,1018.77770
20-02-2014,1018.56720
18-02-2014,1018.13940
17-02-2014,1019.57710
14-02-2014,1018.85230
13-02-2014,1018.61200
12-02-2014,1018.37170
11-02-2014,1018.13940
10-02-2014,1019.43740
07-02-2014,1018.77740
06-02-2014,1018.56510
05-02-2014,1018.35180
04-02-2014,1018.13940
03-02-2014,1019.43770
31-01-2014,10.18780
30-01-2014,10.18570
29-01-2014,10.18350
28-01-2014,10.18140
27-01-2014,10.19390
24-01-2014,10.18760
23-01-2014,10.18560
22-01-2014,10.18350
21-01-2014,10.18140
20-01-2014,10.19320
17-01-2014,10.18610
16-01-2014,10.18380
15-01-2014,10.18140
13-01-2014,10.19510
10-01-2014,10.18840
09-01-2014,10.18620
08-01-2014,10.18380
07-01-2014,10.18140
06-01-2014,10.19410
03-01-2014,10.18790
02-01-2014,10.18590
01-01-2014,10.18370
31-12-2013,10.18140
30-12-2013,10.19550
27-12-2013,10.18840
26-12-2013,10.18610
24-12-2013,10.18140
23-12-2013,10.19560
20-12-2013,10.18850
19-12-2013,10.18610
18-12-2013,10.18380
17-12-2013,10.18140
16-12-2013,10.19390
13-12-2013,10.18750
12-12-2013,10.18550
11-12-2013,10.18350
10-12-2013,10.18140
09-12-2013,10.19330
06-12-2013,10.18710
05-12-2013,10.18510
04-12-2013,10.18320
03-12-2013,10.18140
02-12-2013,10.19440
29-11-2013,10.18810
28-11-2013,10.18610
27-11-2013,10.18370
26-11-2013,10.18140
25-11-2013,10.19550
22-11-2013,10.18850
21-11-2013,10.18610
20-11-2013,10.18380
19-11-2013,10.18140
18-11-2013,10.19530
14-11-2013,10.18600
13-11-2013,10.18360
12-11-2013,10.18140
11-11-2013,10.19460
08-11-2013,10.18790
07-11-2013,10.18560
06-11-2013,10.18350
05-11-2013,10.18140
01-11-2013,10.18850
31-10-2013,10.18610
30-10-2013,10.18380
29-10-2013,10.18140
28-10-2013,10.19600
25-10-2013,10.18870
24-10-2013,10.18630
23-10-2013,10.18390
22-10-2013,10.18140
21-10-2013,10.19520
18-10-2013,10.18850
17-10-2013,10.18630
15-10-2013,10.18140
14-10-2013,10.19600
11-10-2013,10.18860
10-10-2013,10.18620
09-10-2013,10.18380
08-10-2013,10.18140
07-10-2013,10.19660
04-10-2013,10.18900
03-10-2013,10.18650
01-10-2013,10.18140
30-09-2013,10.19670
27-09-2013,10.18900
26-09-2013,10.18640
25-09-2013,10.18390
24-09-2013,10.18140
23-09-2013,10.20240
20-09-2013,10.19100
19-09-2013,10.18710
18-09-2013,10.18440
17-09-2013,10.18140
16-09-2013,10.19800
13-09-2013,10.18960
12-09-2013,10.18690
11-09-2013,10.18410
10-09-2013,10.18140
06-09-2013,10.18960
05-09-2013,10.18680
04-09-2013,10.18410
03-09-2013,10.18140
02-09-2013,10.19810
30-08-2013,10.18980
29-08-2013,10.18700
28-08-2013,10.18420
27-08-2013,10.18140
26-08-2013,10.19800
23-08-2013,10.18970
22-08-2013,10.18700
21-08-2013,10.18420
20-08-2013,10.18140
19-08-2013,10.20190
16-08-2013,10.19360
14-08-2013,10.18610
13-08-2013,10.18140
12-08-2013,10.19710
08-08-2013,10.18650
07-08-2013,10.18390
06-08-2013,10.18140
05-08-2013,10.19680
02-08-2013,10.18940
01-08-2013,10.18680
31-07-2013,10.18410
30-07-2013,10.18140
29-07-2013,10.19530
26-07-2013,10.18820
25-07-2013,10.18590
24-07-2013,10.18390
23-07-2013,10.18140
22-07-2013,10.19320
19-07-2013,10.18740
18-07-2013,10.18550
17-07-2013,10.18350
16-07-2013,10.18140
15-07-2013,10.19280
12-07-2013,10.18710
11-07-2013,10.18530
10-07-2013,10.18330
09-07-2013,10.18140
08-07-2013,10.19180
05-07-2013,10.18660
04-07-2013,10.18490
03-07-2013,10.18320
02-07-2013,10.18140
28-06-2013,10.18710
27-06-2013,10.18520
26-06-2013,10.18330
25-06-2013,10.18140
24-06-2013,10.19290
21-06-2013,10.18710
20-06-2013,10.18520
19-06-2013,10.18330
18-06-2013,10.18140
17-06-2013,10.19280
14-06-2013,10.18710
13-06-2013,10.18520
12-06-2013,10.18330
11-06-2013,10.18140
10-06-2013,10.19300
07-06-2013,10.18720
06-06-2013,10.18530
05-06-2013,10.18340
04-06-2013,10.18140
03-06-2013,10.19300
31-05-2013,10.18720
30-05-2013,10.18530
29-05-2013,10.18330
28-05-2013,10.18140
27-05-2013,10.19310
24-05-2013,10.18720
23-05-2013,10.18530
22-05-2013,10.18340
21-05-2013,10.18140
20-05-2013,10.19310
17-05-2013,10.18730
16-05-2013,10.18520
15-05-2013,10.18330
14-05-2013,10.18140
13-05-2013,10.19300
10-05-2013,10.18720
09-05-2013,10.18520
08-05-2013,10.18330
07-05-2013,10.18140
06-05-2013,10.19320
03-05-2013,10.18730
02-05-2013,10.18540
30-04-2013,10.18140
29-04-2013,10.19340
26-04-2013,10.18740
25-04-2013,10.18540
23-04-2013,10.18140
22-04-2013,10.19330
18-04-2013,10.18540
17-04-2013,10.18340
16-04-2013,10.18140
15-04-2013,10.19340
12-04-2013,10.18740
10-04-2013,10.18330
09-04-2013,10.18140
08-04-2013,10.19500
05-04-2013,10.18920
04-04-2013,10.18730
03-04-2013,10.18530
02-04-2013,10.18140
28-03-2013,10.18650
26-03-2013,10.18140
25-03-2013,10.19390
22-03-2013,10.18770
21-03-2013,10.18540
20-03-2013,10.18340
19-03-2013,10.18140
18-03-2013,10.19390
15-03-2013,10.18760
14-03-2013,10.18560
13-03-2013,10.18350
12-03-2013,10.18140
11-03-2013,10.19380
08-03-2013,10.18760
07-03-2013,10.18550
06-03-2013,10.18340
05-03-2013,10.18140
04-03-2013,10.19400
01-03-2013,10.18770
28-02-2013,10.18560
27-02-2013,10.18350
26-02-2013,10.18140
25-02-2013,10.19200
22-02-2013,10.18570
