date,nav
29-05-2008,12.97300
28-05-2008,12.97020
27-05-2008,12.95550
26-05-2008,12.95550
23-05-2008,12.94840
22-05-2008,12.94630
21-05-2008,12.93760
20-05-2008,12.93720
16-05-2008,12.92750
15-05-2008,12.92550
14-05-2008,12.92390
13-05-2008,12.91990
12-05-2008,12.91910
09-05-2008,12.91260
08-05-2008,12.91020
07-05-2008,12.90790
06-05-2008,12.90980
05-05-2008,12.90510
02-05-2008,12.89690
30-04-2008,12.88940
29-04-2008,12.88260
28-04-2008,12.86050
25-04-2008,12.85050
24-04-2008,12.84770
23-04-2008,12.84480
22-04-2008,12.84200
21-04-2008,12.83590
17-04-2008,12.82960
16-04-2008,12.83090
15-04-2008,12.83060
11-04-2008,12.82140
10-04-2008,12.81910
09-04-2008,12.81680
08-04-2008,12.81410
07-04-2008,12.81060
04-04-2008,12.80110
03-04-2008,12.79950
02-04-2008,12.79100
01-04-2008,12.78450
31-03-2008,12.78170
28-03-2008,12.76830
27-03-2008,12.76560
26-03-2008,12.75590
25-03-2008,12.74920
24-03-2008,12.74640
19-03-2008,12.73310
18-03-2008,12.72350
17-03-2008,12.72090
14-03-2008,12.71330
13-03-2008,12.71050
12-03-2008,12.70920
11-03-2008,12.71000
10-03-2008,12.71190
07-03-2008,12.70800
05-03-2008,12.70860
04-03-2008,12.70650
03-03-2008,12.70440
29-02-2008,12.69810
28-02-2008,12.69290
27-02-2008,12.69040
26-02-2008,12.68820
25-02-2008,12.68590
22-02-2008,12.68250
21-02-2008,12.68000
20-02-2008,12.67750
19-02-2008,12.68310
18-02-2008,12.68470
15-02-2008,12.68590
14-02-2008,12.68370
13-02-2008,12.69170
12-02-2008,12.69560
11-02-2008,12.69340
08-02-2008,12.68930
07-02-2008,12.68710
06-02-2008,12.68750
05-02-2008,12.68520
04-02-2008,12.68380
01-02-2008,12.67670
31-01-2008,12.67430
30-01-2008,12.67190
29-01-2008,12.66980
28-01-2008,12.67570
25-01-2008,12.67030
24-01-2008,12.67120
23-01-2008,12.67260
22-01-2008,12.66410
21-01-2008,12.66170
18-01-2008,12.65430
17-01-2008,12.65570
16-01-2008,12.65330
15-01-2008,12.65090
14-01-2008,12.64860
11-01-2008,12.64150
10-01-2008,12.63910
09-01-2008,12.63480
08-01-2008,12.63430
07-01-2008,12.63520
04-01-2008,12.61900
03-01-2008,12.61670
02-01-2008,12.61430
01-01-2008,12.60070
31-12-2007,12.56860
28-12-2007,12.55410
27-12-2007,12.54240
26-12-2007,12.53990
24-12-2007,12.53050
20-12-2007,12.52350
19-12-2007,12.51790
18-12-2007,12.51540
17-12-2007,12.50270
14-12-2007,12.49510
13-12-2007,12.49660
12-12-2007,12.51550
11-12-2007,12.51300
10-12-2007,12.51530
07-12-2007,12.50790
06-12-2007,12.50540
05-12-2007,12.49590
04-12-2007,12.50030
03-12-2007,12.49780
30-11-2007,12.49040
29-11-2007,12.47910
28-11-2007,12.48360
27-11-2007,12.47420
26-11-2007,12.47170
23-11-2007,12.46510
22-11-2007,12.45510
21-11-2007,12.45220
20-11-2007,12.45030
19-11-2007,12.45520
16-11-2007,12.44960
15-11-2007,12.44610
14-11-2007,12.45360
13-11-2007,12.45140
12-11-2007,12.44910
08-11-2007,12.44340
07-11-2007,12.42840
06-11-2007,12.44650
05-11-2007,12.44430
02-11-2007,12.43760
01-11-2007,12.43550
31-10-2007,12.43330
30-10-2007,12.43730
29-10-2007,12.43690
26-10-2007,12.43000
25-10-2007,12.42790
24-10-2007,12.42580
23-10-2007,12.42100
22-10-2007,12.41720
19-10-2007,12.41070
18-10-2007,12.40750
