date,nav
03-05-2024,1530.30000
02-05-2024,1531.99300
01-05-2024,1531.65970
30-04-2024,1531.37300
29-04-2024,1531.12210
28-04-2024,1530.86860
26-04-2024,1530.30000
25-04-2024,1531.81310
24-04-2024,1531.65040
23-04-2024,1531.41250
22-04-2024,1531.12560
21-04-2024,1530.85480
19-04-2024,1530.30000
18-04-2024,1532.07340
17-04-2024,1531.79160
16-04-2024,1531.51340
15-04-2024,1531.20110
14-04-2024,1530.85990
12-04-2024,1530.30000
11-04-2024,1532.36440
10-04-2024,1532.08430
09-04-2024,1531.58800
08-04-2024,1531.29850
07-04-2024,1530.86800
05-04-2024,1530.30000
04-04-2024,1530.93450
03-04-2024,1530.59100
02-04-2024,1530.30000
01-04-2024,1534.01010
31-03-2024,1533.70820
28-03-2024,1532.78710
27-03-2024,1531.66310
26-03-2024,1531.37570
25-03-2024,1531.23540
22-03-2024,1530.30000
21-03-2024,1532.06910
20-03-2024,1531.82830
19-03-2024,1531.53640
18-03-2024,1531.23080
17-03-2024,1530.90820
15-03-2024,1530.30000
14-03-2024,1531.23740
13-03-2024,1530.97830
12-03-2024,1530.63440
11-03-2024,1530.30000
10-03-2024,1533.09030
07-03-2024,1532.19130
06-03-2024,1531.86060
05-03-2024,1531.55340
04-03-2024,1531.22590
03-03-2024,1530.89790
01-03-2024,1530.30000
29-02-2024,1532.13920
28-02-2024,1531.81560
27-02-2024,1531.50570
26-02-2024,1531.17180
25-02-2024,1530.89070
23-02-2024,1530.30000
22-02-2024,1532.24230
21-02-2024,1531.83600
20-02-2024,1531.50140
19-02-2024,1531.18460
18-02-2024,1530.89000
16-02-2024,1530.30000
15-02-2024,1532.13300
14-02-2024,1531.78430
13-02-2024,1531.47640
12-02-2024,1531.17170
11-02-2024,1530.89640
09-02-2024,1530.30000
08-02-2024,1532.05210
07-02-2024,1531.77390
06-02-2024,1531.49340
05-02-2024,1531.21480
04-02-2024,1530.90120
02-02-2024,1530.30000
01-02-2024,1531.19260
31-01-2024,1530.90380
30-01-2024,1530.58970
29-01-2024,1530.30000
28-01-2024,1532.80820
25-01-2024,1531.91250
24-01-2024,1531.60500
23-01-2024,1531.37330
22-01-2024,1531.17030
21-01-2024,1530.88060
19-01-2024,1530.30000
18-01-2024,1531.94530
17-01-2024,1531.66240
16-01-2024,1531.41820
15-01-2024,1531.15170
14-01-2024,1530.88450
12-01-2024,1530.30000
11-01-2024,1532.14790
10-01-2024,1531.86380
09-01-2024,1531.56370
08-01-2024,1531.19890
07-01-2024,1530.87510
05-01-2024,1530.30000
04-01-2024,1532.32710
03-01-2024,1532.00120
02-01-2024,1531.67640
01-01-2024,1531.31020
31-12-2023,1530.89920
30-12-2023,1530.59970
29-12-2023,1530.30000
28-12-2023,1532.13000
27-12-2023,1531.71660
26-12-2023,1531.49230
25-12-2023,1531.20720
22-12-2023,1530.30000
21-12-2023,1532.10050
20-12-2023,1531.79240
19-12-2023,1531.48470
18-12-2023,1531.13610
17-12-2023,1530.90130
15-12-2023,1530.30000
14-12-2023,1531.87060
13-12-2023,1531.60820
12-12-2023,1531.29440
11-12-2023,1531.10160
10-12-2023,1530.88680
08-12-2023,1530.30000
07-12-2023,1532.07260
06-12-2023,1531.75040
05-12-2023,1531.44910
04-12-2023,1531.15370
03-12-2023,1530.88680
01-12-2023,1530.30000
30-11-2023,1532.00070
29-11-2023,1531.71980
28-11-2023,1531.45030
27-11-2023,1531.17210
24-11-2023,1530.30000
23-11-2023,1531.99300
22-11-2023,1531.71480
21-11-2023,1531.43170
20-11-2023,1531.15590
19-11-2023,1530.87730
17-11-2023,1530.30000
16-11-2023,1532.04830
15-11-2023,1531.77470
14-11-2023,1531.47770
13-11-2023,1531.19010
12-11-2023,1530.87850
10-11-2023,1530.30000
09-11-2023,1531.99000
08-11-2023,1531.74430
07-11-2023,1531.45870
06-11-2023,1531.18140
05-11-2023,1530.88620
03-11-2023,1530.30000
02-11-2023,1532.08810
01-11-2023,1531.77220
31-10-2023,1531.45610
30-10-2023,1531.15930
29-10-2023,1530.88000
27-10-2023,1530.30000
26-10-2023,1531.94360
25-10-2023,1531.68180
24-10-2023,1531.41970
23-10-2023,1531.13330
22-10-2023,1530.87560
20-10-2023,1530.30000
19-10-2023,1531.95420
18-10-2023,1531.73780
17-10-2023,1531.42970
16-10-2023,1531.14460
15-10-2023,1530.86440
13-10-2023,1530.30000
12-10-2023,1531.95220
11-10-2023,1531.67330
10-10-2023,1531.40460
09-10-2023,1531.13570
08-10-2023,1530.86010
06-10-2023,1530.30000
05-10-2023,1532.05500
04-10-2023,1531.75000
03-10-2023,1531.46620
02-10-2023,1531.14640
29-09-2023,1530.30000
28-09-2023,1531.89260
27-09-2023,1531.65730
26-09-2023,1531.30930
25-09-2023,1531.12770
24-09-2023,1530.86220
22-09-2023,1530.30000
21-09-2023,1531.98640
20-09-2023,1531.68460
19-09-2023,1531.40410
18-09-2023,1531.12300
17-09-2023,1530.86150
15-09-2023,1530.30000
14-09-2023,1531.96230
13-09-2023,1531.61060
12-09-2023,1531.33080
11-09-2023,1531.11890
10-09-2023,1530.85670
08-09-2023,1530.30000
07-09-2023,1531.97690
06-09-2023,1531.70850
05-09-2023,1531.42940
04-09-2023,1531.13960
03-09-2023,1530.85700
01-09-2023,1530.30000
31-08-2023,1532.00390
30-08-2023,1531.70610
29-08-2023,1531.42520
28-08-2023,1531.15140
27-08-2023,1530.85990
25-08-2023,1530.30000
24-08-2023,1531.98430
23-08-2023,1531.69380
22-08-2023,1531.41430
21-08-2023,1531.12880
20-08-2023,1530.85970
18-08-2023,1530.30000
17-08-2023,1531.89680
16-08-2023,1531.65730
15-08-2023,1531.37830
14-08-2023,1531.09940
13-08-2023,1530.85350
11-08-2023,1530.30000
10-08-2023,1531.77780
09-08-2023,1531.58410
08-08-2023,1531.31400
07-08-2023,1531.06320
06-08-2023,1530.83490
04-08-2023,1530.30000
03-08-2023,1532.02920
02-08-2023,1531.73250
01-08-2023,1531.43220
31-07-2023,1531.13260
30-07-2023,1530.85190
28-07-2023,1530.30000
27-07-2023,1531.95130
26-07-2023,1531.69070
25-07-2023,1531.39290
24-07-2023,1531.12740
23-07-2023,1530.84970
21-07-2023,1530.30000
20-07-2023,1531.97290
19-07-2023,1531.69750
18-07-2023,1531.40440
17-07-2023,1531.12480
16-07-2023,1530.84480
14-07-2023,1530.30000
13-07-2023,1531.99150
12-07-2023,1531.68100
11-07-2023,1531.37350
10-07-2023,1531.10610
09-07-2023,1530.85210
07-07-2023,1530.30000
06-07-2023,1532.19960
05-07-2023,1531.90840
04-07-2023,1531.63250
03-07-2023,1531.33150
02-07-2023,1530.85580
30-06-2023,1530.30000
29-06-2023,1531.83510
28-06-2023,1531.55780
27-06-2023,1531.27820
26-06-2023,1531.02730
25-06-2023,1530.84770
23-06-2023,1530.30000
22-06-2023,1532.00970
21-06-2023,1531.76150
20-06-2023,1531.42020
19-06-2023,1531.10280
18-06-2023,1530.85120
16-06-2023,1530.30000
15-06-2023,1531.99150
14-06-2023,1531.65270
13-06-2023,1531.35510
12-06-2023,1531.12300
11-06-2023,1530.84600
09-06-2023,1530.30000
08-06-2023,1531.91030
07-06-2023,1531.67300
06-06-2023,1531.41930
05-06-2023,1531.14130
04-06-2023,1530.83650
02-06-2023,1530.30000
01-06-2023,1531.95250
31-05-2023,1531.62010
30-05-2023,1531.32520
29-05-2023,1531.02330
28-05-2023,1530.83530
26-05-2023,1530.30000
25-05-2023,1532.01660
24-05-2023,1531.75340
23-05-2023,1531.48830
22-05-2023,1531.23990
21-05-2023,1530.83620
19-05-2023,1530.30000
18-05-2023,1532.25380
17-05-2023,1531.90080
16-05-2023,1531.50850
15-05-2023,1531.15190
14-05-2023,1530.87080
12-05-2023,1530.30000
11-05-2023,1531.13350
10-05-2023,1530.85300
09-05-2023,1530.57110
08-05-2023,1530.30000
07-05-2023,1532.84070
05-05-2023,1532.28880
04-05-2023,1532.01310
03-05-2023,1531.72200
02-05-2023,1531.43520
01-05-2023,1531.14480
28-04-2023,1530.30000
27-04-2023,1531.81960
26-04-2023,1531.56850
25-04-2023,1531.31070
24-04-2023,1531.11260
23-04-2023,1530.85130
21-04-2023,1530.30000
20-04-2023,1531.04680
19-04-2023,1530.78490
18-04-2023,1530.54130
17-04-2023,1530.30000
16-04-2023,1532.03210
14-04-2023,1531.48470
13-04-2023,1531.21130
12-04-2023,1530.94820
11-04-2023,1530.58900
10-04-2023,1530.30000
09-04-2023,1533.22530
06-04-2023,1532.38780
05-04-2023,1531.81230
04-04-2023,1531.58670
03-04-2023,1531.30820
02-04-2023,1530.87220
31-03-2023,1530.30000
30-03-2023,1531.94180
29-03-2023,1531.64110
28-03-2023,1530.42240
27-03-2023,1530.81900
26-03-2023,1530.89100
24-03-2023,1530.30000
23-03-2023,1532.39580
22-03-2023,1532.04750
21-03-2023,1531.75750
20-03-2023,1531.24680
19-03-2023,1530.88450
17-03-2023,1530.30000
16-03-2023,1532.10460
15-03-2023,1531.82180
14-03-2023,1531.61370
13-03-2023,1531.28730
12-03-2023,1530.88420
10-03-2023,1530.30000
09-03-2023,1532.01010
08-03-2023,1531.69980
07-03-2023,1531.43090
06-03-2023,1531.13970
05-03-2023,1530.88160
03-03-2023,1530.30000
02-03-2023,1531.80250
01-03-2023,1531.55840
28-02-2023,1531.27710
27-02-2023,1531.07620
26-02-2023,1530.87370
24-02-2023,1530.30000
23-02-2023,1531.80130
22-02-2023,1531.56850
21-02-2023,1531.35580
20-02-2023,1531.08770
19-02-2023,1530.85700
17-02-2023,1530.30000
16-02-2023,1531.90950
15-02-2023,1531.63880
14-02-2023,1531.39610
13-02-2023,1531.14110
12-02-2023,1530.84860
10-02-2023,1530.30000
09-02-2023,1531.83430
08-02-2023,1531.59690
07-02-2023,1531.37490
06-02-2023,1531.12600
05-02-2023,1530.84810
03-02-2023,1530.30000
02-02-2023,1531.94290
01-02-2023,1531.65900
31-01-2023,1531.33520
30-01-2023,1531.07080
29-01-2023,1530.83980
