date,nav
13-03-2022,14.53370
11-03-2022,14.53160
10-03-2022,14.52310
09-03-2022,14.47050
08-03-2022,14.41170
07-03-2022,14.37950
04-03-2022,14.47030
03-03-2022,14.51600
02-03-2022,14.54370
28-02-2022,14.55900
25-02-2022,14.58320
24-02-2022,14.50160
23-02-2022,14.65550
22-02-2022,14.66040
21-02-2022,14.69590
18-02-2022,14.71930
17-02-2022,14.73360
16-02-2022,14.74490
15-02-2022,14.75890
14-02-2022,14.68330
11-02-2022,14.76150
10-02-2022,14.79420
09-02-2022,14.73730
08-02-2022,14.68920
04-02-2022,14.70990
03-02-2022,14.72550
02-02-2022,14.76470
01-02-2022,14.74450
31-01-2022,14.75270
28-01-2022,14.69260
27-01-2022,14.74590
25-01-2022,14.81090
24-01-2022,14.78750
21-01-2022,14.87950
20-01-2022,14.92020
19-01-2022,14.94700
18-01-2022,14.96100
17-01-2022,14.99700
14-01-2022,15.00560
13-01-2022,15.01040
12-01-2022,14.99520
11-01-2022,14.97030
10-01-2022,14.96010
07-01-2022,14.94500
06-01-2022,14.94280
05-01-2022,14.96720
04-01-2022,14.95920
03-01-2022,14.95240
31-12-2021,14.91300
30-12-2021,14.87780
29-12-2021,14.87010
28-12-2021,14.86480
27-12-2021,14.91700
24-12-2021,14.90040
23-12-2021,14.91530
22-12-2021,14.89710
21-12-2021,14.86060
20-12-2021,14.84010
17-12-2021,14.93300
16-12-2021,14.98380
15-12-2021,14.99880
14-12-2021,15.01240
13-12-2021,15.01560
10-12-2021,15.01210
09-12-2021,15.01290
08-12-2021,15.00480
07-12-2021,14.93500
06-12-2021,14.90600
03-12-2021,14.95930
02-12-2021,14.98160
01-12-2021,14.94660
30-11-2021,14.91490
29-11-2021,14.91160
26-11-2021,15.01740
25-11-2021,15.09350
24-11-2021,15.07010
23-11-2021,15.07690
22-11-2021,15.02990
18-11-2021,15.12020
17-11-2021,15.15140
16-11-2021,15.17130
15-11-2021,15.19000
12-11-2021,15.17640
11-11-2021,15.13770
10-11-2021,15.18670
09-11-2021,15.17690
08-11-2021,15.15520
03-11-2021,15.09350
02-11-2021,15.11010
01-11-2021,15.10330
29-10-2021,15.04620
28-10-2021,15.09060
27-10-2021,15.24820
26-10-2021,15.26260
25-10-2021,15.23320
22-10-2021,15.24170
21-10-2021,15.25110
20-10-2021,15.26510
18-10-2021,15.31550
14-10-2021,15.29740
13-10-2021,15.27110
12-10-2021,15.23840
11-10-2021,15.23540
08-10-2021,15.23380
07-10-2021,15.22050
06-10-2021,15.17440
05-10-2021,15.21690
04-10-2021,15.20870
01-10-2021,15.17140
30-09-2021,15.17340
29-09-2021,15.16280
28-09-2021,15.15760
27-09-2021,15.25270
24-09-2021,15.26750
23-09-2021,15.29390
22-09-2021,15.25010
21-09-2021,15.22440
20-09-2021,15.20280
17-09-2021,15.24160
16-09-2021,15.26350
15-09-2021,15.24930
14-09-2021,15.21610
13-09-2021,15.19810
09-09-2021,15.19410
08-09-2021,15.19060
07-09-2021,15.17580
06-09-2021,15.18530
03-09-2021,15.16180
02-09-2021,15.13890
01-09-2021,15.10190
31-08-2021,15.10110
30-08-2021,15.06380
27-08-2021,15.05580
26-08-2021,15.02300
25-08-2021,15.01060
24-08-2021,14.99430
